Time [s],Packet ID,MOSI,MISO
4.33645325,429,U (0x55),U (0x55)
4.33675575,430,W (0x57),W (0x57)
4.33705825,431,Y (0x59),Y (0x59)
4.33736075,432,[ (0x5B),[ (0x5B)
4.33766325,433,] (0x5D),] (0x5D)
4.33796575,434,_ (0x5F),_ (0x5F)
4.33826825,435,a (0x61),a (0x61)
4.33857075,436,c (0x63),c (0x63)
4.33887329166667,437,e (0x65),e (0x65)
4.33917579166667,438,g (0x67),g (0x67)
4.33947829166667,439,i (0x69),i (0x69)
4.33978079166667,440,k (0x6B),k (0x6B)
4.34008329166667,441,m (0x6D),m (0x6D)
4.34038579166667,442,o (0x6F),o (0x6F)
4.34068829166667,443,q (0x71),q (0x71)
4.34099079166667,444,s (0x73),s (0x73)
4.34129329166667,445,u (0x75),u (0x75)
4.34159583333333,446,w (0x77),w (0x77)
4.34189833333333,447,y (0x79),y (0x79)
4.34220083333333,448,{ (0x7B),{ (0x7B)
4.34250320833333,449,A (0x41),A (0x41)
4.34280570833333,450,C (0x43),C (0x43)
4.34310825,451,E (0x45),E (0x45)
4.34341075,452,G (0x47),G (0x47)
4.34371325,453,I (0x49),I (0x49)
4.34401575,454,K (0x4B),K (0x4B)
4.34431825,455,M (0x4D),M (0x4D)
4.34462075,456,O (0x4F),O (0x4F)
4.34492325,457,Q (0x51),Q (0x51)
4.34522575,458,S (0x53),S (0x53)
4.34552825,459,U (0x55),U (0x55)
4.34583075,460,W (0x57),W (0x57)
4.34613329166667,461,Y (0x59),Y (0x59)
4.34643579166667,462,[ (0x5B),[ (0x5B)
4.34673829166667,463,] (0x5D),] (0x5D)
4.34704079166667,464,_ (0x5F),_ (0x5F)
4.34734329166667,465,a (0x61),a (0x61)
4.34764579166667,466,c (0x63),c (0x63)
4.34794829166667,467,e (0x65),e (0x65)
4.34825079166667,468,g (0x67),g (0x67)
4.34855329166667,469,i (0x69),i (0x69)
4.34885583333333,470,k (0x6B),k (0x6B)
4.34915833333333,471,m (0x6D),m (0x6D)
4.34946083333333,472,o (0x6F),o (0x6F)
4.34976333333333,473,q (0x71),q (0x71)
4.35006583333333,474,s (0x73),s (0x73)
4.35036833333333,475,u (0x75),u (0x75)
4.35067083333333,476,w (0x77),w (0x77)
4.35097333333333,477,y (0x79),y (0x79)
4.35127583333333,478,{ (0x7B),{ (0x7B)
4.35157825,479,A (0x41),A (0x41)
4.35188075,480,C (0x43),C (0x43)
4.35218325,481,E (0x45),E (0x45)
4.35248575,482,G (0x47),G (0x47)
4.35278825,483,I (0x49),I (0x49)
